cat_cs,cat_en,icon
Pouště,Deserts,🏜️
Geologie,Geology,⛰️
Biogeochemické cykly,Biogeochemical cycle,🔄
Botanika,Botany,🌱
Geologická terminologie,Geology terminology,⛰️
Paleontologie,Paleontology,🦕
Vědy o Zemi,Earth sciences,🌍
Mineralogie,Mineralogy,💎
Petrologie,Petrology,💎
Karsologie,Karst,🌍
Pedologie,Pedology,🟤
Planetologie,Planetary science,🪐
Vulkanologie,Volcanology,🌋
Glaciologie,Glaciology,🗻
Kartografie,Cartography,🗺️
Oceánografie,Oceanography,🌊
Hydrologie,Hydrology,💧
Klimatologie,Climatology,🌍
Meteorologie,Meteorology,⛈️
Bouře,Storm,🌪️
Biotopy,Habitat,🌄
Biomy,Biomes,🌍
Paleogeografie,Paleogeography,🦕
Ekosystémy,Ecosystems,🏞️
Biogeografie,Biogeography,🌍
Biodiverzita,Biodiversity,🦗
Ekologie,Ecology,🏞️
Fytogeografie,Phytogeography,🌱
Zoologie,Zoology,🦥
Geobiocenologie,,🌳
Genetika,Genetics,🧬
Mikrobiologie,Microbiology,🦠
Parazitologie,Parasitology,🧬
Obecná biologie,,🔬
Evoluční biologie,Evolutionary biology,🧬
Země,Earth,🌍
Evoluce,Evolution,🧬
Organismy,Organisms,🐞
Geomorfologie,Geomorphology,🏞️
Dálkový průzkum Země,Remote sensing,🛰️
,Ecogeographic rules,🌍
Geologické periody,Geological periods,🌍
,Landscape ecology,🏞️
